repo_key,best_method,best_auc,random_auc
stanfordnlp/dspy,ppr_und,0.6886574074074074,0.2986111111111111
statsmodels/statsmodels,ppr_fwd,0.285254329004329,0.022380275974025976
streamlink/streamlink,ppr_fwd,0.5253564814814815,0.20662037037037037
sunpy/sunpy,pagerank,0.7129629629629629,0.20694444444444446
sympy/sympy,ppr_und,0.19720362103174605,0.017860863095238096
tefra/xsdata,bm25,0.6123611111111111,0.32236111111111115
terrapower/armi,ppr_und,0.3117476851851852,0.07138310185185186
textualize/textual,robillard,0.40455246913580245,0.132445987654321
tobymao/sqlglot,ppr_fwd,0.3135395531400966,0.17274516908212562
tornadoweb/tornado,pagerank,0.3943014705882353,0.2649142156862745
tox-dev/tox,directory,0.6266232638888889,0.4653993055555556
twisted/twisted,ppr_und,0.366272095959596,0.0343844696969697
ucfopen/canvasapi,indegree,0.6020032051282052,0.4205128205128205
vertexproject/synapse,pagerank,0.5020833333333333,0.29
wemake-services/wemake-python-styleguide,bfs_und,0.46769057765151517,0.2838405539772727
xonsh/xonsh,ids_und,0.4251736111111111,0.12746527777777777
yt-dlp/yt-dlp,hits_auth,0.2736545138888889,0.03806423611111111
yukinarit/pyserde,aider_repomap,0.6558641975308642,0.5229938271604938
zarr-developers/zarr-python,pagerank,0.4365575396825397,0.3255456349206349
