method,budget,coverage
khop1_und,250,0.049363718170112744
khop1_und,500,0.09489068692626869
khop1_und,1000,0.17256070303299362
khop1_und,2000,0.2769018230099048
khop1_und,4000,0.39580104369893276
khop1_und,8000,0.49783104467424577
khop1_und,16000,0.5510153817454251
khop1_und,32000,0.5741582377040347
khop1_und,64000,0.5811893303670886
khop2_und,125,0.005582854547986127
khop2_und,250,0.012914348686801465
khop2_und,500,0.028080446825359928
khop2_und,1000,0.06248448013752574
khop2_und,2000,0.12349922775373838
khop2_und,4000,0.23153395496905774
khop2_und,8000,0.3970378210089988
khop2_und,16000,0.5744325132819836
khop2_und,32000,0.7302764477632949
khop2_und,64000,0.8233109510785446
labelprop,125,0.008199742093646226
labelprop,250,0.019461335124508494
labelprop,500,0.038375042302829725
labelprop,1000,0.07181985254952303
labelprop,2000,0.13063931747589075
labelprop,4000,0.23490380861371185
labelprop,8000,0.37004902499532305
labelprop,16000,0.5192552399225195
labelprop,32000,0.6611832455746869
labelprop,64000,0.7482625242833001
locagent_bfs,125,0.024525408591480512
locagent_bfs,250,0.04697762885640419
locagent_bfs,500,0.09598356594653769
locagent_bfs,1000,0.18202639151678462
locagent_bfs,2000,0.30161677496446815
locagent_bfs,4000,0.4636661191661167
locagent_bfs,8000,0.6304941217299236
locagent_bfs,16000,0.7733911390620796
locagent_bfs,32000,0.8736879485583844
locagent_bfs,64000,0.9392536185562227
louvain,125,0.011619344660084938
louvain,250,0.024752590837094236
louvain,500,0.049125943020448634
louvain,1000,0.0940836905958343
louvain,2000,0.16895528967835138
louvain,4000,0.2725797257522733
louvain,8000,0.351257265240469
louvain,16000,0.40958237455345586
louvain,32000,0.4384550263507728
louvain,64000,0.4504236458454214
pagerank,125,0.02806139550842941
pagerank,250,0.04881532961273973
pagerank,500,0.09432113408653248
pagerank,1000,0.16994762190812787
pagerank,2000,0.27036739517848535
pagerank,4000,0.4180740541041652
pagerank,8000,0.586386934166156
pagerank,16000,0.7562171354695837
pagerank,32000,0.8788269310677825
pagerank,64000,0.953375089518838
ppr_fwd,125,0.03787984690028558
ppr_fwd,250,0.06959688271642643
ppr_fwd,500,0.12087227368368286
ppr_fwd,1000,0.21009280079673334
ppr_fwd,2000,0.3274415266718837
ppr_fwd,4000,0.47326304429677074
ppr_fwd,8000,0.6166516730777688
ppr_fwd,16000,0.7272534085456094
ppr_fwd,32000,0.7931151863518383
ppr_fwd,64000,0.8308863745120648
ppr_und,125,0.03326299075956355
ppr_und,250,0.056288506660963016
ppr_und,500,0.10796080688658762
ppr_und,1000,0.1976571450538856
ppr_und,2000,0.31768053373264216
ppr_und,4000,0.4761461754069848
ppr_und,8000,0.6465278459026655
ppr_und,16000,0.790244102877169
ppr_und,32000,0.8934802646288029
ppr_und,64000,0.9449811547789413
random,125,0.0038006509227199847
random,250,0.008272756778010497
random,500,0.0184529438471654
random,1000,0.04141246182316213
random,2000,0.09136091179969383
random,4000,0.1857926010104051
random,8000,0.3427163853393935
random,16000,0.5423270884042597
random,32000,0.7339892232947233
random,64000,0.8734428449201846
repograph_k1,125,0.009474072546260133
repograph_k1,250,0.021447766773124325
repograph_k1,500,0.04451783666593179
repograph_k1,1000,0.09383918696814968
repograph_k1,2000,0.17996659443730004
repograph_k1,4000,0.3042560633492576
repograph_k1,8000,0.4539504323569533
repograph_k1,16000,0.5906322003698217
repograph_k1,32000,0.6878170986735664
repograph_k1,64000,0.7343370785686205
repograph_k2,125,0.009329219830702883
repograph_k2,250,0.02134047354609983
repograph_k2,500,0.04505828090392307
repograph_k2,1000,0.09493820040571484
repograph_k2,2000,0.18475995124015526
repograph_k2,4000,0.32255460887688187
repograph_k2,8000,0.4846527395121511
repograph_k2,16000,0.65465344203053
repograph_k2,32000,0.7978275988264585
repograph_k2,64000,0.8740445585669777
robillard,125,0.028980485712140288
robillard,250,0.05083700132588159
robillard,500,0.09704366851038958
robillard,1000,0.1638048886259592
robillard,2000,0.2714213475484477
robillard,4000,0.41109201678219676
robillard,8000,0.5606563155504242
robillard,16000,0.7191732838603268
robillard,32000,0.8522664991067616
robillard,64000,0.9169220743013838
same_dir,125,0.014682897389796574
same_dir,250,0.03039031981802626
same_dir,500,0.05563456618810799
same_dir,1000,0.0981807769152893
same_dir,2000,0.15904596574398563
same_dir,4000,0.23074741401526536
same_dir,8000,0.2895351925498825
same_dir,16000,0.3411575144331525
same_dir,32000,0.3767756270707203
same_dir,64000,0.38806945784233204
seed_alone,125,0.0
seed_alone,250,0.0
seed_alone,500,0.0
seed_alone,1000,0.0
seed_alone,2000,0.0
seed_alone,4000,0.0
seed_alone,8000,0.0
seed_alone,16000,0.0
seed_alone,32000,0.0
seed_alone,64000,0.0
topo_fwd,125,0.02489353783142617
topo_fwd,250,0.043119575714172534
topo_fwd,500,0.07590788236313897
topo_fwd,1000,0.1342037273267727
topo_fwd,2000,0.20667612328547819
topo_fwd,4000,0.3004220174577881
topo_fwd,8000,0.4146526121794263
topo_fwd,16000,0.5529893343636736
topo_fwd,32000,0.655272160359307
topo_fwd,64000,0.7152663689412632
whole_repo,125,0.00873292625288611
whole_repo,250,0.016956505874770815
whole_repo,500,0.031226279130513512
whole_repo,1000,0.05093816377353894
whole_repo,2000,0.11311971085726599
whole_repo,4000,0.2082976814003681
whole_repo,8000,0.37661000090446367
whole_repo,16000,0.5669468607981404
whole_repo,32000,0.7446024884322407
whole_repo,64000,0.8749205949233054
oracle,125,0.19943937226355637
oracle,250,0.3305455547254367
oracle,500,0.4951790779389283
oracle,1000,0.6867799714461679
oracle,2000,0.8381539312307331
oracle,4000,0.9410023367800675
oracle,8000,0.9805151021209614
oracle,16000,0.9957349024042058
oracle,32000,0.9992464060047946
oracle,64000,0.9999521705154806
embedding,125,0.0
embedding,250,0.0
embedding,500,0.0
embedding,1000,0.0
embedding,2000,0.0
embedding,4000,0.0
embedding,8000,0.0
embedding,16000,0.0
embedding,32000,0.0
embedding,64000,0.0
