instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
instance_internetarchive__openlibrary-09865f5fb549694d969f0a8e49b9d204ef1853ca-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,ok,1,0,1,113,73,0,False,1.9
instance_internetarchive__openlibrary-0a90f9f0256e4f933523e9842799e39f95ae29ce-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,internetarchive/openlibrary,ok,3,0,5,258,110,0,False,4.1
instance_internetarchive__openlibrary-111347e9583372e8ef91c82e0612ea437ae3a9c9-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,internetarchive/openlibrary,ok,5,0,8,241,182,0,False,6.8
instance_internetarchive__openlibrary-1be7de788a444f6255e89c10ef6aa608550604a8-v29f82c9cf21d57b242f8d8b0e541525d259e2d63,internetarchive/openlibrary,ok,4,0,6,175,86,0,False,1.1
instance_internetarchive__openlibrary-53d376b148897466bb86d5accb51912bbbe9a8ed-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,ok,4,0,8,103,54,0,False,5.2
instance_internetarchive__openlibrary-5de7de19211e71b29b2f2ba3b1dff2fe065d660f-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,ok,3,0,5,154,86,0,False,2.8
instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,internetarchive/openlibrary,ok,2,0,6,62,38,0,False,3.8
instance_internetarchive__openlibrary-6a117fab6c963b74dc1ba907d838e74f76d34a4b-v13642507b4fc1f8d234172bf8129942da2c2ca26,internetarchive/openlibrary,ok,3,0,3,29,24,0,False,1.6
instance_internetarchive__openlibrary-757fcf46c70530739c150c57b37d6375f155dc97-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,ok,4,0,7,114,50,0,False,1.5
instance_internetarchive__openlibrary-77c16d530b4d5c0f33d68bead2c6b329aee9b996-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,ok,5,0,8,249,152,0,False,4.3
instance_internetarchive__openlibrary-7bf3238533070f2d24bafbb26eedf675d51941f6-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,ok,6,0,10,200,127,0,False,4.2
instance_internetarchive__openlibrary-e1e502986a3b003899a8347ac8a7ff7b08cbfc39-v08d8e8889ec945ab821fb156c04c7d2e2810debb,internetarchive/openlibrary,ok,1,0,1,113,73,0,False,0.6
instance_qutebrowser__qutebrowser-0fc6d1109d041c69a68a896db87cf1b8c194cef7-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,ok,1,1,6,137,8,0,False,12.3
instance_qutebrowser__qutebrowser-16de05407111ddd82fa12e54389d532362489da9-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,ok,1,0,5,109,86,0,False,2.8
instance_qutebrowser__qutebrowser-233cb1cc48635130e5602549856a6fa4ab4c087f-v35616345bb8052ea303186706cec663146f0f184,qutebrowser/qutebrowser,ok,3,0,5,23,23,0,False,1.1
instance_qutebrowser__qutebrowser-2dd8966fdcf11972062c540b7a787e4d0de8d372-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,ok,4,0,10,45,21,0,False,1.9
instance_qutebrowser__qutebrowser-2e961080a85d660148937ee8f0f6b3445a8f2c01-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,ok,1,0,3,64,38,0,False,1.6
instance_qutebrowser__qutebrowser-3fd8e12949b8feda401930574facf09dd4180bba,qutebrowser/qutebrowser,ok,5,0,4,84,43,0,False,2.2
instance_qutebrowser__qutebrowser-46e6839e21d9ff72abb6c5d49d5abaa5a8da8a81-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,ok,5,0,8,88,50,0,False,1.4
instance_qutebrowser__qutebrowser-473a15f7908f2bb6d670b0e908ab34a28d8cf7e2-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,ok,1,0,5,109,86,0,False,1.1
instance_qutebrowser__qutebrowser-52708364b5f91e198defb022d1a5b4b3ebd9b563-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,ok,2,0,4,72,48,0,False,2.6
instance_qutebrowser__qutebrowser-85b867fe8d4378c8e371f055c70452f546055854-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,ok,2,0,8,182,104,0,False,1.6
instance_qutebrowser__qutebrowser-8cd06741bb56cdca49f5cdc0542da97681154315-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,qutebrowser/qutebrowser,ok,1,0,3,64,37,0,False,1.1
instance_qutebrowser__qutebrowser-bedc9f7fadf93f83d8dee95feeecb9922b6f063f-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,ok,4,0,6,310,143,0,False,9.6
instance_qutebrowser__qutebrowser-ec2dcfce9eee9f808efc17a1b99e227fc4421dea-v5149fcda2a9a6fe1d35dfed1bade1444a11ef271,qutebrowser/qutebrowser,ok,1,0,4,70,54,0,False,1.1
instance_qutebrowser__qutebrowser-f8e7fea0becae25ae20606f1422068137189fe9e,qutebrowser/qutebrowser,ok,1,0,3,49,31,0,False,1.0
instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,qutebrowser/qutebrowser,ok,2,0,4,72,58,0,False,6.6
instance_qutebrowser__qutebrowser-ff1c025ad3210506fc76e1f604d8c8c27637d88e-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,ok,2,0,3,93,49,0,False,2.5
matplotlib__matplotlib-14623,matplotlib/matplotlib,ok,3,0,3,45,34,0,False,7.0
matplotlib__matplotlib-20676,matplotlib/matplotlib,ok,1,0,1,10,8,0,False,1.9
matplotlib__matplotlib-21568,matplotlib/matplotlib,ok,1,0,1,9,6,0,False,2.7
matplotlib__matplotlib-22871,matplotlib/matplotlib,ok,1,0,1,11,6,0,False,1.7
matplotlib__matplotlib-23299,matplotlib/matplotlib,ok,1,0,1,15,5,0,False,1.7
matplotlib__matplotlib-23314,matplotlib/matplotlib,ok,1,0,1,2,1,0,False,1.4
matplotlib__matplotlib-23412,matplotlib/matplotlib,ok,1,0,0,0,0,0,False,4.4
matplotlib__matplotlib-24026,matplotlib/matplotlib,ok,1,0,1,23,10,0,False,1.3
matplotlib__matplotlib-24177,matplotlib/matplotlib,ok,1,0,1,5,3,0,False,3.7
matplotlib__matplotlib-24570,matplotlib/matplotlib,ok,1,0,1,2,2,0,False,1.0
matplotlib__matplotlib-24627,matplotlib/matplotlib,ok,1,0,1,11,3,6,False,1.1
matplotlib__matplotlib-24870,matplotlib/matplotlib,ok,2,0,2,63,53,0,False,4.7
matplotlib__matplotlib-25122,matplotlib/matplotlib,ok,1,0,1,15,17,0,False,2.6
matplotlib__matplotlib-25311,matplotlib/matplotlib,ok,1,0,1,7,4,0,False,1.5
