repo_key,python_share,nontest_py_files,python_share_b,nontest_py_files_b,R2_a,R2_b,R3_a,R3_b
nilearn/nilearn,0.9933,262.0,0.9933,262,True,True,True,True
nipy/nipype,0.9923,312.0,0.9923,312,True,True,True,True
nltk/nltk,0.9988,308.0,0.9988,296,True,True,True,True
numba/numba,0.8554,369.0,0.8554,369,True,True,True,True
nvidia/hpc-container-maker,0.9856,119.0,0.9854,113,True,True,True,True
oasis-open/cti-python-stix2,1.0,69.0,1.0,62,True,True,True,True
omni-us/jsonargparse,1.0,25.0,1.0,25,True,True,False,False
openai/openai-agents-python,0.9814,199.0,0.9814,199,True,True,True,True
ouranosinc/xclim,1.0,43.0,1.0,43,True,True,False,False
pallets/flask,0.9954,35.0,0.9954,35,True,True,False,False
pandas-dev/pandas,0.7952,379.0,0.9823,379,False,True,True,True
patroni/patroni,0.9022,82.0,0.9957,82,True,True,True,True
pdm-project/pdm,0.9752,138.0,0.9753,138,True,True,True,True
pennylaneai/pennylane,0.999,528.0,0.999,528,True,True,True,True
peterbe/hashin,0.9924,2.0,0.9924,2,True,True,False,False
pika/pika,0.9873,48.0,0.9873,48,True,True,False,False
planetlabs/planet-client-python,1.0,36.0,1.0,36,True,True,False,False
pre-commit/pre-commit,0.9512,65.0,0.9512,65,True,True,True,True
pre-commit/pre-commit-hooks,1.0,35.0,1.0,35,True,True,False,False
privacyidea/privacyidea,0.4483,370.0,0.4483,370,False,False,True,True
probabl-ai/skore,0.516,85.0,0.5461,85,False,False,True,True
project-monai/monai,0.878,398.0,0.878,398,True,True,True,True
projectmesa/mesa,1.0,84.0,1.0,84,True,True,True,True
psf/black,0.9999,60.0,1.0,60,True,True,True,True
psf/requests,1.0,21.0,1.0,21,True,True,False,False
pvlib/pvlib-python,0.9946,115.0,0.9989,115,True,True,True,True
pycqa/pyflakes,1.0,11.0,1.0,9,True,True,False,False
pydantic/pydantic,0.9982,105.0,0.9982,105,True,True,True,True
pydata/xarray,0.9987,145.0,0.9987,145,True,True,True,True
pydicom/pydicom,0.997,109.0,0.997,109,True,True,True,True
pylint-dev/pylint,1.0,1081.0,1.0,1081,True,True,True,True
pypa/pip,1.0,159.0,1.0,159,True,True,True,True
pypa/setuptools_scm,1.0,33.0,1.0,33,True,True,False,False
pypsa/pypsa,1.0,80.0,1.0,80,True,True,True,True
pytest-dev/pytest,1.0,89.0,1.0,89,True,True,True,True
python-attrs/attrs,0.7879,20.0,1.0,20,False,True,False,False
python-babel/babel,0.9805,34.0,0.9805,34,True,True,False,False
python-cmd2/cmd2,0.9968,82.0,0.9968,82,True,True,True,True
python-control/python-control,0.9982,102.0,0.9982,102,True,True,True,True
python-telegram-bot/python-telegram-bot,0.9999,249.0,0.9999,249,True,True,True,True
python/mypy,0.591,379.0,0.9618,333,False,True,True,True
pytorch/ignite,0.9919,154.0,0.9919,154,True,True,True,True
pytorch/torchtune,0.9997,246.0,0.9997,246,True,True,True,True
pyvista/pyvista,0.9997,335.0,0.9997,335,True,True,True,True
qutebrowser/qutebrowser,0.9573,252.0,0.9573,252,True,True,True,True
rdflib/rdflib,0.9935,182.0,0.9946,145,True,True,True,True
reanahub/reana-client,0.9638,27.0,0.9638,27,True,True,False,False
reata/sqllineage,0.3472,47.0,0.3472,47,False,False,False,False
reflex-dev/reflex,0.9544,248.0,0.9544,248,True,True,True,True
reframe-hpc/reframe,0.8983,162.0,0.8983,159,True,True,True,True
repobee/repobee,0.9659,50.0,0.9659,50,True,True,True,True
researchobject/ro-crate-py,0.9988,30.0,0.9988,29,True,True,False,False
run-llama/llama_deploy,0.327,130.0,0.327,130,False,False,True,True
scikit-learn/scikit-learn,0.8293,622.0,0.9473,622,True,True,True,True
scipp/plopp,0.991,67.0,0.9985,67,True,True,True,True
scrapy/scrapy,0.9998,176.0,0.9998,176,True,True,True,True
sdv-dev/sdv,1.0,80.0,1.0,80,True,True,True,True
shapely/shapely,0.4628,75.0,0.5146,75,False,False,True,True
sissbruecker/linkding,0.8686,131.0,0.8686,131,True,True,True,True
spacetelescope/jwst,0.9565,386.0,0.9565,386,True,True,True,True
spdx/tools-python,0.9956,284.0,0.9956,284,True,True,True,True
sphinx-doc/sphinx,0.8465,215.0,0.8465,215,True,True,True,True
sphinx-gallery/sphinx-gallery,0.9822,40.0,0.9822,40,True,True,False,False
spikeinterface/spikeinterface,0.9981,336.0,0.9981,336,True,True,True,True
sqlfluff/sqlfluff,0.6476,271.0,1.0,244,False,True,True,True
stanfordnlp/dspy,0.9915,130.0,0.9915,130,True,True,True,True
statsmodels/statsmodels,0.955,745.0,0.9907,745,True,True,True,True
streamlink/streamlink,0.9806,268.0,0.994,268,True,True,True,True
sunpy/sunpy,0.9201,282.0,0.9199,279,True,True,True,True
sympy/sympy,0.9999,869.0,0.9999,869,True,True,True,True
tefra/xsdata,1.0,127.0,1.0,127,True,True,True,True
terrapower/armi,0.9995,300.0,0.9995,300,True,True,True,True
textualize/textual,0.996,557.0,0.9969,557,True,True,True,True
tobymao/sqlglot,0.9744,78.0,0.9744,78,True,True,True,True
tornadoweb/tornado,0.9783,72.0,0.9837,59,True,True,True,True
tox-dev/tox,1.0,115.0,1.0,115,True,True,True,True
twisted/towncrier,1.0,19.0,1.0,17,True,True,False,False
twisted/twisted,1.0,769.0,0.9999,668,True,True,True,True
ucfopen/canvasapi,0.9973,75.0,0.9973,75,True,True,True,True
urllib3/urllib3,0.9891,49.0,0.9888,43,True,True,False,False
vertexproject/synapse,0.995,240.0,0.995,240,True,True,True,True
wemake-services/wemake-python-styleguide,0.9941,157.0,0.9941,157,True,True,True,True
xknx/xknx,0.6952,202.0,0.6952,188,False,False,True,True
xonsh/xonsh,0.9909,160.0,0.9909,160,True,True,True,True
yt-dlp/yt-dlp,0.9999,1138.0,0.9999,1124,True,True,True,True
yt-project/unyt,1.0,25.0,1.0,25,True,True,False,False
yukinarit/pyserde,1.0,86.0,1.0,86,True,True,True,True
zarr-developers/zarr-python,0.9995,59.0,0.9995,59,True,True,True,True
