a,b,source,stratum,population,n_pr,n_repo,estimate,ci_lo,ci_hi,p,repo_var,resid_var,p_holm
rrf_pprpl_issue_path,path_issue,co_edited,all,all,708,112,0.05325052388866531,0.03982174277927559,0.06667930499805502,7.72281879529308e-15,0.002827647934682871,0.013337742435016514,2.1623892626820624e-13
rrf_pprpl_issue_path,path_issue,co_edited,all,shared,702,111,0.05364544488468517,0.0401389953354351,0.06715189443393525,6.990001594425628e-15,0.002850335595486827,0.013386472226236784,2.027100462383432e-13
rrf_pprpl_issue_path,path_issue,symbol,all,all,1156,112,0.08942179286107352,0.07462693506884935,0.10421665065329769,2.2505410843516699e-32,0.004632261550947765,0.016120846794893486,8.552056120536346e-31
rrf_pprpl_issue_path,path_issue,symbol,all,shared,702,111,0.06664789442188887,0.05407114779398926,0.07922464104978848,2.858591686220666e-25,0.002414388803036704,0.012008318510486973,9.433352564528198e-24
ppr_out_pl,path_issue,co_edited,all,all,708,112,-0.10528457017579052,-0.12507141502790345,-0.08549772532367758,1.83097675119117e-25,0.0038656580322322864,0.043672069574189946,6.225320954049978e-24
ppr_out_pl,path_issue,co_edited,all,shared,702,111,-0.10639363856309723,-0.12618550122185654,-0.08660177590433793,5.893323881367335e-26,0.0037896447767584744,0.04381991584374908,2.062663358478567e-24
ppr_out_pl,path_issue,symbol,all,all,1156,112,0.1047432382129778,0.082050701711389,0.1274357747145666,1.4733013071991288e-19,0.007618251754118352,0.07070605798381208,4.567234052317299e-18
ppr_out_pl,path_issue,symbol,all,shared,702,111,0.0124566525568712,-0.012152052902514927,0.03706535801625733,0.3211429253440796,0.008302913397903929,0.05192641328163887,1.0
ppr_und_pl,path_issue,co_edited,all,all,708,112,-0.06228985536895585,-0.08216093927184749,-0.04241877146606421,8.052156885317634e-10,0.0033729139282214528,0.04784621441581029,2.0935607901825848e-08
ppr_und_pl,path_issue,co_edited,all,shared,702,111,-0.06249165641127633,-0.08246457011443391,-0.042518742708118756,8.657675041175414e-10,0.0033986604803491623,0.04794346882895066,2.1644187602938535e-08
ppr_und_pl,path_issue,symbol,all,all,1156,112,0.10299839830452977,0.07758926429684362,0.1284075323122159,1.943399544168039e-15,0.011536262227948783,0.06844729411531515,5.830198632504117e-14
ppr_und_pl,path_issue,symbol,all,shared,702,111,0.03158319133029113,0.007237875963898112,0.05592850669668415,0.011001147094739532,0.007988813476043678,0.05170093797302824,0.14301491223161392
hops_lines,path_issue,co_edited,all,all,708,112,-0.04355599340558161,-0.06379918995180806,-0.02331279685935516,2.4743205152766415e-05,0.0025498228794578978,0.05599720327593611,0.00044537769274979546
hops_lines,path_issue,co_edited,all,shared,702,111,-0.044443541632411335,-0.06463479540056717,-0.024252287864255494,1.602309436308735e-05,0.0024057258923083557,0.05615078572808062,0.0003044387928986597
hops_lines,path_issue,symbol,all,all,1156,112,0.0912208113006545,0.06745246655918034,0.11498915604212866,5.387490184769741e-14,0.009694421082360924,0.06394703248927153,1.45462234988783e-12
hops_lines,path_issue,symbol,all,shared,702,111,0.021815097811643876,-8.285794226872006e-05,0.04371305356555647,0.050873197907111097,0.005292189323306421,0.04947627677000704,0.6104783748853332
rrf_pprpl_issue_path,ppr_out_pl,symbol,all,all,1156,112,-0.014297624984897643,-0.03597752533979001,0.007382275369994728,0.19615916288154245,0.008341858787624128,0.05032148616936191,1.0
rrf_pprpl_issue_path,ppr_out_pl,symbol,all,shared,702,111,0.054259920927993435,0.03228163308658699,0.07623820876939988,1.3065676082435789e-06,0.007203248875347115,0.03772137623886281,2.6131352164871576e-05
rrf_pprpl_issue_path,ppr_out_pl,symbol,no_explicit,all,871,112,-0.06111848462377076,-0.08269698185775111,-0.03953998738979041,2.8345400062569e-08,0.006726608134155794,0.0482824776935357,6.519442014390869e-07
rrf_pprpl_issue_path,ppr_out_pl,symbol,no_explicit,shared,531,109,0.0004338241328570835,-0.023584248307032783,0.024451896572746948,0.9717594596717204,0.007831427688249341,0.03670175800592135,1.0
rrf_pprpl_issue_path,ppr_und_pl,symbol,all,all,1156,112,-0.013152881254227639,-0.03551327710872478,0.009207514600269502,0.24895376047012907,0.009481329854663307,0.047383728872946215,1.0
rrf_pprpl_issue_path,ppr_und_pl,symbol,all,shared,702,111,0.0350014680689489,0.015364794328980427,0.05463814180891738,0.0004766514195768695,0.005043924225235697,0.03461419604016423,0.007626422713229912
rrf_pprpl_issue_path,ppr_und_pl,symbol,no_explicit,all,871,112,-0.05701995496938605,-0.07882131178060146,-0.03521859815817063,2.957246584921288e-07,0.007303952863400702,0.04586269540454356,6.505942486826834e-06
rrf_pprpl_issue_path,ppr_und_pl,symbol,no_explicit,shared,531,109,-0.0156334444003915,-0.036539604467281245,0.005272715666498239,0.14274529878058298,0.004469416821559742,0.03523524014563969,1.0
rrf_pprpl_issue_path,hops_lines,symbol,all,all,1156,112,-0.0021673693679111995,-0.018554767167733185,0.014220028431910784,0.7954643403290276,0.0031380876645875876,0.045674091816657894,1.0
rrf_pprpl_issue_path,hops_lines,symbol,all,shared,702,111,0.04479840247022898,0.027107940159073345,0.062488864781384615,6.93016951467268e-07,0.003077090829948236,0.034817830553450994,1.4553355980812628e-05
rrf_pprpl_issue_path,hops_lines,symbol,no_explicit,all,871,112,-0.04729115151620549,-0.06274186886365345,-0.031840434168757537,1.9852841517438196e-09,0.0010401037705628491,0.04479194464580162,4.764681964185167e-08
rrf_pprpl_issue_path,hops_lines,symbol,no_explicit,shared,531,109,-0.006737669410981668,-0.026068455701681783,0.012593116879718449,0.494519818695454,0.0031336847453718895,0.03358353469152037,1.0
hops_lines,path_issue,co_edited,no_full_path,shared,655,111,-0.01604991482830093,-0.03657654789122787,0.004476718234626011,0.12539681701290994,0.001979694607359669,0.0566979332204427,1.0
hops_lines,path_issue,co_edited,no_explicit,shared,531,109,0.03446429053387304,0.009479789488436044,0.05944879157931003,0.006858726059683814,0.004257791248191578,0.060782260778860536,0.10288089089525722
hops_lines,path_issue,co_edited,no_stem,shared,487,107,0.050321835656820045,0.023704259177891523,0.07693941213574856,0.00021105057987144763,0.005498823799369156,0.05960192764944399,0.00358785985781461
ppr_out_pl,ppr_in_pl,symbol,all,all,1156,112,0.21474505014784007,0.19157245016057634,0.2379176501351038,1.0064764053641359e-73,0.009872540305656615,0.054267721624928045,4.126553261992957e-72
ppr_out_pl,ppr_in_pl,symbol,all,shared,702,111,0.1234701964846722,0.1040861943951635,0.14285419857418089,9.085471814133207e-36,0.005890865146235699,0.027555915669576235,3.543334007511951e-34
rrf_pprpl_issue_path,rrf_pprpl_issue_path_rd,co_edited,explicit,shared,378,105,0.06252464854186879,0.05010820248109197,0.07494109460264561,5.635719326046505e-23,0.0007794437902627349,0.011334282483937894,1.8034301843348816e-21
rrf_pprpl_issue_path,rrf_pprpl_issue_path_rd,co_edited,no_explicit,shared,531,109,-0.0017277972076284829,-0.004873438638647758,0.0014178442233907923,0.2816841913778345,8.519756839236355e-13,0.0013676526129068171,1.0
rrf_pprpl_issue_path,rrf_pprpl_issue_path_rd,symbol,explicit,shared,378,105,0.04921131864780586,0.04008843127571152,0.058334206019900206,3.993750509234506e-26,3.813457418442931e-12,0.008095689932698762,1.4377501833244223e-24
rrf_pprpl_issue_path,rrf_pprpl_issue_path_rd,symbol,no_explicit,shared,531,109,-0.00032039692909352296,-0.0034202271855097548,0.0027794333273227093,0.8394626103141875,3.6999466128780945e-12,0.0013282322224825594,1.0
rrf_pprpl_issue_path,rrf_pprpl_seedpath,co_edited,explicit,shared,378,105,0.15287441721832584,0.12982477875129358,0.1759240556853581,1.2352521921245545e-38,0.002248820035614712,0.040973215253734485,4.941008768498218e-37
rrf_pprpl_issue_path,rrf_pprpl_seedpath,co_edited,no_explicit,shared,531,109,0.019677792151039684,0.004808899680585347,0.03454668462149402,0.0094906265421505,0.00015217187182081795,0.02935513445631388,0.13286877159010702
rrf_pprpl_issue_path,rrf_pprpl_seedpath,symbol,explicit,shared,378,105,0.11606886930334447,0.09519623653318826,0.13694150207350067,1.165322128137182e-27,0.0029252321542076127,0.028669038489090904,4.311691874107573e-26
rrf_pprpl_issue_path,rrf_pprpl_seedpath,symbol,no_explicit,shared,531,109,0.012193369433845264,-0.002512510762971676,0.026899249630662203,0.10414068744853909,0.0012170358119611684,0.022737284307490318,1.0
