stratum,source,method,n_pr,auc_no_leak,rank_no_leak
no_stem,symbol,bm25_issue,799,0.31972274522944477,15
no_stem,symbol,bm25_issue_pl,799,0.3434285484096139,13
no_stem,symbol,path_issue,799,0.30423509645241315,17
no_stem,symbol,bm25_seed,799,0.3282029788484663,14
no_stem,symbol,path_seed,799,0.35623302570269827,12
no_stem,symbol,rrf_ppr_issue,799,0.3795341972223115,10
no_stem,symbol,rrf_ppr_issue_path,799,0.37449861620503466,11
no_stem,symbol,rrf_hops_path,799,0.42910339897071936,6
no_stem,symbol,rrf_hops_issue_path,799,0.4102070692876985,9
no_stem,symbol,rrf_pprpl_issue_path,799,0.4211986950612784,7
no_stem,symbol,same_dir,799,0.3180907345710431,16
no_stem,symbol,random,799,0.24672485308866723,20
no_stem,union_static,ppr_und,821,0.44097830707384666,5
no_stem,union_static,ppr_und_pl,821,0.4862522313373845,2
no_stem,union_static,ppr_out,821,0.45394153033054474,4
no_stem,union_static,ppr_out_pl,821,0.48632214050534606,1
no_stem,union_static,ppr_in,821,0.26807103600804794,19
no_stem,union_static,ppr_in_pl,821,0.273997985330039,18
no_stem,union_static,hops_lines,821,0.4756797197555035,3
no_stem,union_static,pagerank,821,0.40424712435715937,9
no_stem,union_static,bm25_issue,821,0.3172232494421214,16
no_stem,union_static,bm25_issue_pl,821,0.3449084668931981,13
no_stem,union_static,path_issue,821,0.30123400456690713,17
no_stem,union_static,bm25_seed,821,0.328995928571324,14
no_stem,union_static,path_seed,821,0.3552543082942031,12
no_stem,union_static,rrf_ppr_issue,821,0.37377761066089826,10
no_stem,union_static,rrf_ppr_issue_path,821,0.36853290029169194,11
no_stem,union_static,rrf_hops_path,821,0.4238435037755239,6
no_stem,union_static,rrf_hops_issue_path,821,0.40512872200001165,8
no_stem,union_static,rrf_pprpl_issue_path,821,0.4152131566956437,7
no_stem,union_static,same_dir,821,0.31795492357266275,15
no_stem,union_static,random,821,0.24554046342114796,20
