source,method,budget,coverage
co_edited,path_issue_rds,4000,0.3296532743161957
co_edited,path_issue_rds,8000,0.47881321238062813
co_edited,path_issue_rds,16000,0.6518582696953484
co_edited,path_issue_rds,32000,0.8120172430565689
co_edited,path_seed,250,0.0390417011203528
co_edited,path_seed,500,0.0749762202009393
co_edited,path_seed,1000,0.13540643189519594
co_edited,path_seed,2000,0.2262573568753344
co_edited,path_seed,4000,0.36009580826996557
co_edited,path_seed,8000,0.5147998173279072
co_edited,path_seed,16000,0.6847364090341619
co_edited,path_seed,32000,0.855911239197756
co_edited,ppr_in,250,0.01938526517178203
co_edited,ppr_in,500,0.03607746809994001
co_edited,ppr_in,1000,0.0800223340953678
co_edited,ppr_in,2000,0.15534964411368907
co_edited,ppr_in,4000,0.27647279374807465
co_edited,ppr_in,8000,0.42772136831125596
co_edited,ppr_in,16000,0.6084374375104712
co_edited,ppr_in,32000,0.7877816419951251
co_edited,ppr_in_pl,250,0.024512581675503024
co_edited,ppr_in_pl,500,0.051406318400700424
co_edited,ppr_in_pl,1000,0.09410558230782949
co_edited,ppr_in_pl,2000,0.15871901194934904
co_edited,ppr_in_pl,4000,0.2760753603450233
co_edited,ppr_in_pl,8000,0.4265581172884544
co_edited,ppr_in_pl,16000,0.6091944728180683
co_edited,ppr_in_pl,32000,0.7876320724635332
co_edited,ppr_out,250,0.019297847387735028
co_edited,ppr_out,500,0.03723896266031097
co_edited,ppr_out,1000,0.07849481978695462
co_edited,ppr_out,2000,0.15238885646189018
co_edited,ppr_out,4000,0.2716837313747426
co_edited,ppr_out,8000,0.437538912398463
co_edited,ppr_out,16000,0.6282010176673097
co_edited,ppr_out,32000,0.805452126940891
co_edited,ppr_out_pl,250,0.03475485188968335
co_edited,ppr_out_pl,500,0.05931992476936297
co_edited,ppr_out_pl,1000,0.10261503477795612
co_edited,ppr_out_pl,2000,0.17283205246688393
co_edited,ppr_out_pl,4000,0.29204079316438863
co_edited,ppr_out_pl,8000,0.44702117483016357
co_edited,ppr_out_pl,16000,0.6360031562278754
co_edited,ppr_out_pl,32000,0.8092062951613513
co_edited,ppr_und,250,0.01617296561116786
co_edited,ppr_und,500,0.03921518556350017
co_edited,ppr_und,1000,0.09594176111030044
co_edited,ppr_und,2000,0.19918547432592376
co_edited,ppr_und,4000,0.34667197658770693
co_edited,ppr_und,8000,0.5166200528560079
co_edited,ppr_und,16000,0.7103386054228751
co_edited,ppr_und,32000,0.8550107819770741
co_edited,ppr_und_pl,250,0.04352655771195097
co_edited,ppr_und_pl,500,0.07943114937496959
co_edited,ppr_und_pl,1000,0.14320958379947143
co_edited,ppr_und_pl,2000,0.21742282374304847
co_edited,ppr_und_pl,4000,0.3623165847884949
co_edited,ppr_und_pl,8000,0.524509946981857
co_edited,ppr_und_pl,16000,0.7008426966292135
co_edited,ppr_und_pl,32000,0.85104658138366
co_edited,random,250,0.006159373294204755
co_edited,random,500,0.01629936334992515
co_edited,random,1000,0.041939526349638705
co_edited,random,2000,0.08851841042852278
co_edited,random,4000,0.1797369089503921
co_edited,random,8000,0.3369970437386167
co_edited,random,16000,0.5350713529084316
co_edited,random,32000,0.7377569164086019
co_edited,rrf_hops_issue_path,250,0.0554603012468181
co_edited,rrf_hops_issue_path,500,0.11899978922450832
co_edited,rrf_hops_issue_path,1000,0.21594617928887594
co_edited,rrf_hops_issue_path,2000,0.3436035718339089
co_edited,rrf_hops_issue_path,4000,0.5126655803622095
co_edited,rrf_hops_issue_path,8000,0.6723138284936038
co_edited,rrf_hops_issue_path,16000,0.8131027368386918
co_edited,rrf_hops_issue_path,32000,0.9171370608168361
co_edited,rrf_hops_path,250,0.06417931319616713
co_edited,rrf_hops_path,500,0.11779350487215655
co_edited,rrf_hops_path,1000,0.19507596024449955
co_edited,rrf_hops_path,2000,0.31995820970540073
co_edited,rrf_hops_path,4000,0.47877078705730386
co_edited,rrf_hops_path,8000,0.6442022552977609
co_edited,rrf_hops_path,16000,0.7840638190357292
co_edited,rrf_hops_path,32000,0.8971300079446146
co_edited,rrf_hops_path_rd,250,0.055978322551356256
co_edited,rrf_hops_path_rd,500,0.10389326653371597
co_edited,rrf_hops_path_rd,1000,0.17173926261004913
co_edited,rrf_hops_path_rd,2000,0.2822166285649432
co_edited,rrf_hops_path_rd,4000,0.42940858558836087
co_edited,rrf_hops_path_rd,8000,0.6040539828461177
co_edited,rrf_hops_path_rd,16000,0.7622553112721653
co_edited,rrf_hops_path_rd,32000,0.8892463965497673
co_edited,rrf_hops_path_rdp,250,0.05285621058092968
co_edited,rrf_hops_path_rdp,500,0.10052308802308803
co_edited,rrf_hops_path_rdp,1000,0.1635702936264734
co_edited,rrf_hops_path_rdp,2000,0.26659552993822655
co_edited,rrf_hops_path_rdp,4000,0.4026543525139031
co_edited,rrf_hops_path_rdp,8000,0.571480859964006
co_edited,rrf_hops_path_rdp,16000,0.7400269414314358
co_edited,rrf_hops_path_rdp,32000,0.8709225075798109
co_edited,rrf_hops_path_rds,250,0.05120020429009193
co_edited,rrf_hops_path_rds,500,0.09955818214245181
co_edited,rrf_hops_path_rds,1000,0.16405811728845437
co_edited,rrf_hops_path_rds,2000,0.2661447946560306
co_edited,rrf_hops_path_rds,4000,0.40084283174170815
co_edited,rrf_hops_path_rds,8000,0.5647369900178889
co_edited,rrf_hops_path_rds,16000,0.731651520556015
co_edited,rrf_hops_path_rds,32000,0.8669694537672066
co_edited,rrf_hops_pathseed,250,0.0433794202052629
co_edited,rrf_hops_pathseed,500,0.08484848484848484
co_edited,rrf_hops_pathseed,1000,0.1489935470272549
co_edited,rrf_hops_pathseed,2000,0.2575670428198518
co_edited,rrf_hops_pathseed,4000,0.4052233814874264
co_edited,rrf_hops_pathseed,8000,0.5725671644210969
co_edited,rrf_hops_pathseed,16000,0.7336795591009074
co_edited,rrf_hops_pathseed,32000,0.8711367284400993
co_edited,rrf_ppr_issue,250,0.01723697650663943
co_edited,rrf_ppr_issue,500,0.04671859039836568
co_edited,rrf_ppr_issue,1000,0.11845015159621901
co_edited,rrf_ppr_issue,2000,0.22765050180780516
co_edited,rrf_ppr_issue,4000,0.3879716101626214
