source,a,b,n_pr,mean_a,mean_b,delta,a12,p,p_holm
co_edited,ppr_und,ppr_und_pl,708,0.3573817183810122,0.37141511972020447,-0.014033401339192286,0.48726120367710424,0.23452971368276965,1.0
co_edited,ppr_und,ppr_out,708,0.3573817183810122,0.3124159268227065,0.04496579155830566,0.5611843260238119,1.1275740403682037e-18,9.13334972698245e-17
co_edited,ppr_und,ppr_out_pl,708,0.3573817183810122,0.32679601324993274,0.030585705131079444,0.5418043186823709,1.3548386454493341e-08,7.722580279061205e-07
co_edited,ppr_und,ppr_in,708,0.3573817183810122,0.30788237415179504,0.049499344229217146,0.5650954387308883,8.726889323700748e-20,7.417855925145635e-18
co_edited,ppr_und,ppr_in_pl,708,0.3573817183810122,0.31048868935521473,0.04689302902579745,0.562201753965974,1.9691164011904718e-16,1.4965284649047586e-14
co_edited,ppr_und,hops_lines,708,0.3573817183810122,0.3889406639539054,-0.03155894557289324,0.46911806952025276,1.751165644742989e-06,7.880245401343451e-05
co_edited,ppr_und,pagerank,708,0.3573817183810122,0.27113405841778015,0.08624765996323203,0.619168741421686,1.776654318943988e-39,2.380716787384944e-37
co_edited,ppr_und,bm25_issue,708,0.3573817183810122,0.4072061222087705,-0.04982440382775832,0.4317076430782981,4.840867362412559e-10,2.85611174382341e-08
co_edited,ppr_und,bm25_issue_pl,708,0.3573817183810122,0.35404132757151824,0.0033403908094939427,0.510433623799036,0.09413015881121864,1.0
co_edited,ppr_und,path_issue,708,0.3573817183810122,0.4342253964517383,-0.07684367807072612,0.40497522263717317,1.5348759744453564e-15,1.1358082210895637e-13
co_edited,ppr_und,bm25_seed,708,0.3573817183810122,0.39307755470361405,-0.03569583632260187,0.4577268664815347,2.0954690453100013e-06,9.220063799364006e-05
co_edited,ppr_und,path_seed,708,0.3573817183810122,0.3706677558813858,-0.013286037500373604,0.4945687302499282,0.8507969886406924,1.0
co_edited,ppr_und,rrf_ppr_issue,708,0.3573817183810122,0.39305144531133235,-0.03566972693032017,0.452078146445785,2.7659950553517883e-17,2.129816192620877e-15
co_edited,ppr_und,rrf_ppr_issue_path,708,0.3573817183810122,0.4445339590246017,-0.08715224064358951,0.38667049698362543,7.894406343519834e-42,1.0815336690622172e-39
co_edited,ppr_und,rrf_hops_path,708,0.3573817183810122,0.45711705134816016,-0.09973533296714798,0.37621393118197205,5.831575192418644e-43,8.222521021310288e-41
co_edited,ppr_und,rrf_hops_issue_path,708,0.3573817183810122,0.47952449145069204,-0.12214277306967986,0.3421789715598966,7.5355675911951e-59,1.205690814591216e-56
co_edited,ppr_und,rrf_pprpl_issue_path,708,0.3573817183810122,0.48582589285714284,-0.12844417447613066,0.33679657825018355,2.868668117467799e-57,4.5324956255991225e-55
co_edited,ppr_und,same_dir,708,0.3573817183810122,0.3287003407766119,0.02868137760440026,0.5486948992945833,2.446935714143154e-07,1.2479372142130085e-05
co_edited,ppr_und,random,708,0.3573817183810122,0.2482625577302484,0.10911916065076377,0.6545084027578282,2.663325969936892e-52,4.048255474304076e-50
co_edited,ppr_und_pl,ppr_out,708,0.37141511972020447,0.3124159268227065,0.05899919289749794,0.570427958121868,3.5846639262290433e-16,2.6884979446717824e-14
co_edited,ppr_und_pl,ppr_out_pl,708,0.37141511972020447,0.32679601324993274,0.04461910647027173,0.5524763398129529,3.7806797303285516e-13,2.4574418247135585e-11
co_edited,ppr_und_pl,ppr_in,708,0.37141511972020447,0.30788237415179504,0.06353274556840943,0.5753814357304734,3.239272445238774e-19,2.6885961295481823e-17
co_edited,ppr_und_pl,ppr_in_pl,708,0.37141511972020447,0.31048868935521473,0.060926430364989737,0.5726742794216222,2.176739862996732e-20,1.8937636808071567e-18
co_edited,ppr_und_pl,hops_lines,708,0.37141511972020447,0.3889406639539054,-0.01752554423370095,0.48229775128475216,2.1064941988446328e-10,1.2638965193067797e-08
co_edited,ppr_und_pl,pagerank,708,0.37141511972020447,0.27113405841778015,0.10028106130242431,0.6256583357272814,2.9253823242683425e-31,3.3934434961512776e-29
co_edited,ppr_und_pl,bm25_issue,708,0.37141511972020447,0.4072061222087705,-0.03579100248856604,0.44700696638896864,4.110922276476971e-06,0.00016443689105907883
co_edited,ppr_und_pl,bm25_issue_pl,708,0.37141511972020447,0.35404132757151824,0.01737379214868623,0.5221769367040122,0.00017506441929734031,0.005426996998217549
co_edited,ppr_und_pl,path_issue,708,0.37141511972020447,0.4342253964517383,-0.06281027673153383,0.421117415174439,5.755526780326897e-14,3.856202942819021e-12
co_edited,ppr_und_pl,bm25_seed,708,0.37141511972020447,0.39307755470361405,-0.021662434983409584,0.4714930655303393,0.0023643996636630352,0.05910999159157588
co_edited,ppr_und_pl,path_seed,708,0.37141511972020447,0.3706677558813858,0.0007473638388186821,0.5058143014459446,0.7434279867381615,1.0
co_edited,ppr_und_pl,rrf_ppr_issue,708,0.37141511972020447,0.39305144531133235,-0.02163632559112788,0.46673708863991836,6.964073111716355e-06,0.0002646347782452215
co_edited,ppr_und_pl,rrf_ppr_issue_path,708,0.37141511972020447,0.4445339590246017,-0.07311883930439722,0.4034490807239299,4.5329303940466586e-24,4.396942482225259e-22
co_edited,ppr_und_pl,rrf_hops_path,708,0.37141511972020447,0.45711705134816016,-0.0857019316279557,0.39323889208081964,1.755144961627608e-42,2.4572029462786514e-40
co_edited,ppr_und_pl,rrf_hops_issue_path,708,0.37141511972020447,0.47952449145069204,-0.10810937173048757,0.3610682195410004,2.4125161583555107e-46,3.4981484296154905e-44
co_edited,ppr_und_pl,rrf_pprpl_issue_path,708,0.37141511972020447,0.48582589285714284,-0.11441077313693837,0.3554763557726069,7.917148207624467e-54,1.2192408239741679e-51
co_edited,ppr_und_pl,same_dir,708,0.37141511972020447,0.3287003407766119,0.042714778943592546,0.558370439528871,5.09231256152961e-08,2.8007719088412855e-06
co_edited,ppr_und_pl,random,708,0.37141511972020447,0.2482625577302484,0.12315256198995606,0.6589092773468672,6.184642695006846e-51,9.338810469460336e-49
co_edited,ppr_out,ppr_out_pl,708,0.3124159268227065,0.32679601324993274,-0.014380086427226213,0.4812035175077405,0.00034676632874008456,0.010402989862202536
co_edited,ppr_out,ppr_in,708,0.3124159268227065,0.30788237415179504,0.004533552670911489,0.505069185100067,0.37265519912109335,1.0
co_edited,ppr_out,ppr_in_pl,708,0.3124159268227065,0.31048868935521473,0.0019272374674917936,0.5035540154489451,0.5286251488070697,1.0
co_edited,ppr_out,hops_lines,708,0.3124159268227065,0.3889406639539054,-0.0765247371311989,0.41308073190973216,2.9550193790537986e-25,2.9550193790537985e-23
co_edited,ppr_out,pagerank,708,0.3124159268227065,0.27113405841778015,0.04128186840492637,0.5636710396118612,2.309034879665159e-27,2.467536756005516e-25
co_edited,ppr_out,bm25_issue,708,0.3124159268227065,0.4072061222087705,-0.09479019538606398,0.36946399502058797,2.3061091177621648e-27,2.467536756005516e-25
co_edited,ppr_out,bm25_issue_pl,708,0.3124159268227065,0.35404132757151824,-0.041625400748811714,0.45351451530530823,0.00012020274011260205,0.0038464876836032656
co_edited,ppr_out,path_issue,708,0.3124159268227065,0.4342253964517383,-0.12180946962903177,0.34530407130773405,2.1313378294145602e-38,2.7707391782389283e-36
co_edited,ppr_out,bm25_seed,708,0.3124159268227065,0.39307755470361405,-0.08066162788090753,0.397081178780044,1.0958919728403707e-22,1.0082206150131411e-20
co_edited,ppr_out,path_seed,708,0.3124159268227065,0.3706677558813858,-0.05825182905867926,0.43672994669475573,1.649309111306244e-08,9.236131023314967e-07
co_edited,ppr_out,rrf_ppr_issue,708,0.3124159268227065,0.39305144531133235,-0.08063551848862582,0.3894305196463341,2.633490262606114e-33,3.212858120379459e-31
co_edited,ppr_out,rrf_ppr_issue_path,708,0.3124159268227065,0.4445339590246017,-0.13211803220189516,0.3237495611095152,1.9637553314898013e-61,3.1812836370134783e-59
co_edited,ppr_out,rrf_hops_path,708,0.3124159268227065,0.45711705134816016,-0.14470112452545364,0.31684701075680677,1.7169349487799565e-65,2.8329426654869284e-63
co_edited,ppr_out,rrf_hops_issue_path,708,0.3124159268227065,0.47952449145069204,-0.1671085646279855,0.28236019343100643,8.126220599872526e-79,1.4464672667773096e-76
co_edited,ppr_out,rrf_pprpl_issue_path,708,0.3124159268227065,0.48582589285714284,-0.1734099660344363,0.277093507612755,1.0861424166232583e-79,1.9441949257556323e-77
co_edited,ppr_out,same_dir,708,0.3124159268227065,0.3287003407766119,-0.016284413953905397,0.49046111430304196,0.7311689512265016,1.0
co_edited,ppr_out,random,708,0.3124159268227065,0.2482625577302484,0.06415336909245811,0.5968800871397107,3.0425664283095634e-29,3.407674399706711e-27
co_edited,ppr_out_pl,ppr_in,708,0.32679601324993274,0.30788237415179504,0.018913639098137702,0.5236561971336461,0.001249674533936907,0.03499088695023339
co_edited,ppr_out_pl,ppr_in_pl,708,0.32679601324993274,0.31048868935521473,0.016307323894718007,0.5213649893070319,0.002724836594448521,0.06267124167231598
co_edited,ppr_out_pl,hops_lines,708,0.32679601324993274,0.3889406639539054,-0.06214465070397268,0.4308757461138242,5.367456274705688e-23,4.99173433547629e-21
co_edited,ppr_out_pl,pagerank,708,0.32679601324993274,0.27113405841778015,0.05566195483215258,0.5806750534648409,3.625984305473541e-28,3.9885827360208955e-26
co_edited,ppr_out_pl,bm25_issue,708,0.32679601324993274,0.4072061222087705,-0.08041010895883777,0.38961006575377444,2.27471532721473e-19,1.910760874860373e-17
co_edited,ppr_out_pl,bm25_issue_pl,708,0.32679601324993274,0.35404132757151824,-0.0272453143215855,0.4714262344792365,0.04732803801446972,0.8045766462459852
co_edited,ppr_out_pl,path_issue,708,0.32679601324993274,0.4342253964517383,-0.10742938320180556,0.36475390213540165,1.1803649480973836e-32,1.4164379377168603e-30
co_edited,ppr_out_pl,bm25_seed,708,0.32679601324993274,0.39307755470361405,-0.06628154145368131,0.41591057805866777,4.6103024656908304e-14,3.1350056766697646e-12
co_edited,ppr_out_pl,path_seed,708,0.32679601324993274,0.3706677558813858,-0.04387174263145305,0.45490300520284715,5.6378883037636896e-05,0.0018605031402420175
co_edited,ppr_out_pl,rrf_ppr_issue,708,0.32679601324993274,0.39305144531133235,-0.06625543206139961,0.4090838360624342,5.7362893654578825e-21,5.105297535257515e-19
co_edited,ppr_out_pl,rrf_ppr_issue_path,708,0.32679601324993274,0.4445339590246017,-0.11773794577466895,0.34382880079159883,2.999715070577692e-47,4.409581153749207e-45
co_edited,ppr_out_pl,rrf_hops_path,708,0.32679601324993274,0.45711705134816016,-0.13032103809822743,0.3359766510262058,7.098590766411894e-64,1.1641688856915507e-61
co_edited,ppr_out_pl,rrf_hops_issue_path,708,0.32679601324993274,0.47952449145069204,-0.1527284782007593,0.3016853394618405,2.6237229742168467e-71,4.486566285910808e-69
co_edited,ppr_out_pl,rrf_pprpl_issue_path,708,0.32679601324993274,0.48582589285714284,-0.1590298796072101,0.2966410913211401,1.168413241691415e-75,2.0330390405430622e-73
co_edited,ppr_out_pl,same_dir,708,0.32679601324993274,0.3287003407766119,-0.0019043275266791837,0.5085453972357878,0.15794003943696677,1.0
co_edited,ppr_out_pl,random,708,0.32679601324993274,0.2482625577302484,0.07853345551968433,0.6134521928564589,3.907924364331525e-36,4.923984699057721e-34
