source,size_q,method,auc,rank
symbol,Q2,path_issue,0.41587028242301677,9
symbol,Q3,path_issue,0.32400696313965605,11
symbol,Q4,path_issue,0.25653459583173743,12
symbol,Q1,path_seed,0.49834928415810764,14
symbol,Q2,path_seed,0.39111228277894944,11
symbol,Q3,path_seed,0.2900501164147858,14
symbol,Q4,path_seed,0.24651727601812923,13
symbol,Q1,ppr_in,0.42257352941176474,19
symbol,Q2,ppr_in,0.3162673920649181,19
symbol,Q3,ppr_in,0.21218492686484097,19
symbol,Q4,ppr_in,0.13695186513019278,19
symbol,Q1,ppr_in_pl,0.42890522875816994,18
symbol,Q2,ppr_in_pl,0.3269941586673358,18
symbol,Q3,ppr_in_pl,0.22729988703356327,18
symbol,Q4,ppr_in_pl,0.14837054930911586,18
symbol,Q1,ppr_out,0.5413087457205105,7
symbol,Q2,ppr_out,0.41055060993212034,10
symbol,Q3,ppr_out,0.3744248726563581,8
symbol,Q4,ppr_out,0.3365826883425006,8
symbol,Q1,ppr_out_pl,0.5624202458761283,4
symbol,Q2,ppr_out_pl,0.4495740346651805,6
symbol,Q3,ppr_out_pl,0.41423978853250865,2
symbol,Q4,ppr_out_pl,0.37151289173473473,3
symbol,Q1,ppr_und,0.5213503734827264,9
symbol,Q2,ppr_und,0.4176892040010529,8
symbol,Q3,ppr_und,0.37495636989099296,7
symbol,Q4,ppr_und,0.34438928712072914,6
symbol,Q1,ppr_und_pl,0.5675536881419234,3
symbol,Q2,ppr_und_pl,0.4666646805644202,3
symbol,Q3,ppr_und_pl,0.4232119281463623,1
symbol,Q4,ppr_und_pl,0.3871384037606307,1
symbol,Q1,random,0.4128338001867413,20
symbol,Q2,random,0.290512493751426,20
symbol,Q3,random,0.1845322002642208,20
symbol,Q4,random,0.09408881394802895,20
symbol,Q1,rrf_hops_issue_path,0.5545658263305322,6
symbol,Q2,rrf_hops_issue_path,0.45931549341380074,4
symbol,Q3,rrf_hops_issue_path,0.3854929406469243,6
symbol,Q4,rrf_hops_issue_path,0.35163663760080144,5
symbol,Q1,rrf_hops_path,0.5616690009337068,5
symbol,Q2,rrf_hops_path,0.4726916270698822,2
symbol,Q3,rrf_hops_path,0.40938577715055857,3
symbol,Q4,rrf_hops_path,0.361959416870893,4
symbol,Q1,rrf_ppr_issue,0.5031465919701213,13
symbol,Q2,rrf_ppr_issue,0.38943547952337015,12
symbol,Q3,rrf_ppr_issue,0.3142817573748401,12
symbol,Q4,rrf_ppr_issue,0.2905740383289445,10
symbol,Q1,rrf_ppr_issue_path,0.5278520852785559,8
symbol,Q2,rrf_ppr_issue_path,0.42517750623219375,7
symbol,Q3,rrf_ppr_issue_path,0.34259264187418775,9
symbol,Q4,rrf_ppr_issue_path,0.3214865153964983,9
symbol,Q1,rrf_pprpl_issue_path,0.5683201058201057,2
symbol,Q2,rrf_pprpl_issue_path,0.47596695597997685,1
symbol,Q3,rrf_pprpl_issue_path,0.40274636587070484,4
symbol,Q4,rrf_pprpl_issue_path,0.3749975791731338,2
symbol,Q1,same_dir,0.4681851073762838,17
symbol,Q2,same_dir,0.36129159107674735,17
symbol,Q3,same_dir,0.24429250701551894,17
symbol,Q4,same_dir,0.1815583412053122,17
union_static,Q1,bm25_issue,0.473908081751219,15
union_static,Q2,bm25_issue,0.365631787680107,15
union_static,Q3,bm25_issue,0.2701436955852981,16
union_static,Q4,bm25_issue,0.2309400440796031,14
union_static,Q1,bm25_issue_pl,0.5157943964622886,10
union_static,Q2,bm25_issue_pl,0.3823295559482534,13
union_static,Q3,bm25_issue_pl,0.2968500117661956,13
union_static,Q4,bm25_issue_pl,0.21006920780735255,16
union_static,Q1,bm25_seed,0.4732682656395892,16
union_static,Q2,bm25_seed,0.36340360153385365,16
union_static,Q3,bm25_seed,0.27575054335651583,15
union_static,Q4,bm25_seed,0.22271611903995434,15
union_static,Q1,hops_lines,0.5652508688660649,1
union_static,Q2,hops_lines,0.4497686714545958,5
union_static,Q3,hops_lines,0.39912354447347875,4
union_static,Q4,hops_lines,0.3300617320376056,7
union_static,Q1,pagerank,0.5093151844070961,12
union_static,Q2,pagerank,0.3661752964589099,14
union_static,Q3,pagerank,0.31845467121476323,11
union_static,Q4,pagerank,0.2728533710542862,11
union_static,Q1,path_issue,0.5094644262025798,11
union_static,Q2,path_issue,0.41201125030431757,9
union_static,Q3,path_issue,0.3201990480577474,10
union_static,Q4,path_issue,0.2523229557079391,12
union_static,Q1,path_seed,0.5004620984196148,13
union_static,Q2,path_seed,0.3900521304092733,11
union_static,Q3,path_seed,0.29368634841889124,14
union_static,Q4,path_seed,0.24015398464233736,13
union_static,Q1,ppr_in,0.42579689283120653,19
union_static,Q2,ppr_in,0.3209510406726793,19
union_static,Q3,ppr_in,0.2154785457354726,19
union_static,Q4,ppr_in,0.1342979473075147,19
union_static,Q1,ppr_in_pl,0.43113442136113705,18
union_static,Q2,ppr_in_pl,0.3319861382781551,18
union_static,Q3,ppr_in_pl,0.23139462864214522,18
union_static,Q4,ppr_in_pl,0.14557177412314684,18
union_static,Q1,ppr_out,0.5322276904588996,7
union_static,Q2,ppr_out,0.40410696912797756,10
union_static,Q3,ppr_out,0.3636152346666809,8
union_static,Q4,ppr_out,0.32100946424469723,8
union_static,Q1,ppr_out_pl,0.5534144599197705,5
union_static,Q2,ppr_out_pl,0.440564179051574,6
union_static,Q3,ppr_out_pl,0.40137318423255314,3
union_static,Q4,ppr_out_pl,0.35275293376894873,3
union_static,Q1,ppr_und,0.5159214843344745,9
union_static,Q2,ppr_und,0.41466611294867595,8
union_static,Q3,ppr_und,0.36815912372374193,7
union_static,Q4,ppr_und,0.33203825777661056,6
union_static,Q1,ppr_und_pl,0.5604620551924474,3
union_static,Q2,ppr_und_pl,0.46070476908712205,3
union_static,Q3,ppr_und_pl,0.41436429992928336,1
union_static,Q4,ppr_und_pl,0.371089858329875,1
union_static,Q1,random,0.4104296348168897,20
union_static,Q2,random,0.2885835482211533,20
union_static,Q3,random,0.18433694021624972,20
union_static,Q4,random,0.0926610826777216,20
union_static,Q1,rrf_hops_issue_path,0.5509033937649134,6
union_static,Q2,rrf_hops_issue_path,0.4565137342815914,4
union_static,Q3,rrf_hops_issue_path,0.38293460633801985,6
union_static,Q4,rrf_hops_issue_path,0.34136087652102626,5
union_static,Q1,rrf_hops_path,0.5574159988069302,4
union_static,Q2,rrf_hops_path,0.4693209165950762,2
union_static,Q3,rrf_hops_path,0.4060534025303211,2
union_static,Q4,rrf_hops_path,0.3504591523362322,4
union_static,Q1,rrf_ppr_issue,0.4973937260089221,14
union_static,Q2,rrf_ppr_issue,0.38642525250193316,12
union_static,Q3,rrf_ppr_issue,0.3119586671714642,12
union_static,Q4,rrf_ppr_issue,0.2800359126222271,10
union_static,Q1,rrf_ppr_issue_path,0.5222519949337759,8
union_static,Q2,rrf_ppr_issue_path,0.4208426517460131,7
union_static,Q3,rrf_ppr_issue_path,0.3405220580857268,9
union_static,Q4,rrf_ppr_issue_path,0.3108257806469121,9
union_static,Q1,rrf_pprpl_issue_path,0.5620044005256424,2
union_static,Q2,rrf_pprpl_issue_path,0.47186599581557565,1
union_static,Q3,rrf_pprpl_issue_path,0.3973292372755511,5
union_static,Q4,rrf_pprpl_issue_path,0.3645866945419774,2
union_static,Q1,same_dir,0.46625038904450666,17
union_static,Q2,same_dir,0.3607196165179358,17
union_static,Q3,same_dir,0.24961618569429245,17
union_static,Q4,same_dir,0.17779890889291888,17
