stratum,source,method,family,n_pr,auc,ci_lo,ci_hi,rank
all,co_edited,oracle,reference,702,0.7738253516031294,0.7498772318968888,0.7956740400209299,1.0
all,co_edited,rrf_pprpl_issue_path,fusion,702,0.4868572078641523,0.45608882368826287,0.5178689607900248,2.0
all,co_edited,rrf_hops_issue_path,fusion,702,0.4796132836642096,0.44802784783829314,0.5116210486220234,3.0
all,co_edited,rrf_hops_path,fusion,702,0.45686181959330113,0.4244382159195735,0.4891410761540495,4.0
all,co_edited,rrf_ppr_issue_path,fusion,702,0.4453055046805046,0.4142783187549572,0.47649878660673667,5.0
all,co_edited,path_issue,lexical,702,0.43484535868795127,0.40520991860295896,0.46362612141863263,6.0
all,co_edited,bm25_issue,lexical,702,0.4085275064441732,0.3806867909545591,0.43499356246722604,7.0
all,co_edited,rrf_ppr_issue,fusion,702,0.3939600244577097,0.36330035803697025,0.42470257621477114,8.0
all,co_edited,bm25_seed,lexical,702,0.39305894722561396,0.36101820112769034,0.423757273706407,9.0
all,co_edited,hops_lines,structure,702,0.38881497874553433,0.3541378125647321,0.42405695505325264,10.0
all,co_edited,ppr_und_pl,structure,702,0.37193597940125717,0.33814131882495657,0.40552050983436844,11.0
all,co_edited,path_seed,lexical,702,0.370879686157464,0.33691371487460686,0.40407998173514303,12.0
all,co_edited,bfs_und,structure,702,0.3617053128627203,0.32759055555435723,0.3944998979279212,13.0
all,co_edited,ppr_und,structure,702,0.3577776882753735,0.324269453438569,0.39091052417103056,14.0
all,co_edited,bm25_issue_pl,lexical,702,0.3551531480350925,0.32099300085018756,0.39100131008489036,15.0
all,co_edited,same_dir,reference,702,0.3290077998990036,0.29748967183653435,0.3597469227120592,16.0
all,co_edited,ppr_out_pl,structure,702,0.3265126141862253,0.29477273005364935,0.3587835671885827,17.0
all,co_edited,ppr_out,structure,702,0.31189833186360966,0.2808269894945007,0.34415386388904623,18.0
all,co_edited,ppr_in_pl,structure,702,0.31024974468261507,0.2795348115886819,0.34270808279145215,19.0
all,co_edited,ppr_in,structure,702,0.30771595516965883,0.27679325528107046,0.3385071521564081,20.0
all,co_edited,pagerank,global,702,0.27125286407693816,0.23987699983769473,0.3044050641533704,21.0
all,co_edited,indegree,global,702,0.2706251695835029,0.23988837121595444,0.3012856162969553,22.0
all,co_edited,random,reference,702,0.24855684439017772,0.2202973556673527,0.2775336893594841,23.0
all,co_edited,bm25_issue_rd,redacted,702,0.4052719271469271,0.377051864063528,0.4319524384449897,
all,co_edited,bm25_issue_rdp,redacted,702,0.40315255731922406,0.374894370842085,0.43018636724006765,
all,co_edited,bm25_issue_rds,redacted,702,0.3954627933794601,0.3671611875007827,0.4227588906164008,
all,co_edited,dense_issue,dense,702,0.4728296138018361,0.4394260292809178,0.5047379344449298,
all,co_edited,dense_issue_rd,dense,702,0.4649423557409669,0.4313579036452365,0.49680200756666776,
all,co_edited,dense_issue_rdp,dense,702,0.4661760757246868,0.43292014686298014,0.4975412905226768,
all,co_edited,dense_issue_rds,dense,702,0.4592248479401257,0.42635549857316646,0.4908205449244305,
all,co_edited,dense_seed,dense,702,0.39765600269072493,0.36060684624267475,0.4328133138078706,
all,co_edited,path_issue_rd,redacted,702,0.39232158873362577,0.36196297923905774,0.4228554069929449,
all,co_edited,path_issue_rdp,redacted,702,0.36593858816081043,0.33415432708314224,0.39703784053286406,
all,co_edited,path_issue_rds,redacted,702,0.35994091428119207,0.3287577675016415,0.39189454024478027,
all,co_edited,rrf_hops_path_rd,redacted,702,0.4297113830099941,0.39642690124801505,0.4637990833847438,
all,co_edited,rrf_hops_path_rdp,redacted,702,0.4123945520357557,0.3787780327911346,0.44657050596508846,
all,co_edited,rrf_hops_path_rds,redacted,702,0.40977135433153944,0.37601635375954373,0.4435374209675199,
all,co_edited,rrf_hops_pathseed,fusion-control,702,0.40177897805212615,0.36799947748274353,0.43506546915373445,
all,co_edited,rrf_pprpl_dense,dense,702,0.4739545177045177,0.4410371402479848,0.5063936394643492,
all,co_edited,rrf_pprpl_dense_path,dense,702,0.5053572606234643,0.47454827888354484,0.53605230703218,
all,co_edited,rrf_pprpl_dense_path_rd,dense,702,0.48124015473552506,0.4493813844170093,0.5138161168254284,
all,co_edited,rrf_pprpl_dense_path_rdp,dense,702,0.4665806972519935,0.43354770073167787,0.4993158883454684,
all,co_edited,rrf_pprpl_dense_path_rds,dense,702,0.46225309113040597,0.4296904745950644,0.4945979050301043,
all,co_edited,rrf_pprpl_issue_path_dense,dense,702,0.5159832922564404,0.48507405855360736,0.5470498628275348,
all,co_edited,rrf_pprpl_issue_path_k10,rrf-k,702,0.4880054530517493,0.45761253612313235,0.5177795298976662,
all,co_edited,rrf_pprpl_issue_path_k200,rrf-k,702,0.48053581792007716,0.4491179789640919,0.5125712555434269,
all,co_edited,rrf_pprpl_issue_path_rd,redacted,702,0.4633374834185019,0.43107400874718527,0.4958125606057388,
all,co_edited,rrf_pprpl_issue_path_rdp,redacted,702,0.4454567166372722,0.4127053766488421,0.4786638985995633,
all,co_edited,rrf_pprpl_issue_path_rds,redacted,702,0.4394155869850314,0.40737003838886526,0.4721457478279971,
all,co_edited,rrf_pprpl_seeddense_path,dense,702,0.4175517276790425,0.3825316021681101,0.4517851121906311,
all,co_edited,rrf_pprpl_seedpath,fusion-control,702,0.4180679210193099,0.38471266298808443,0.45115996085533727,
all,co_edited,sys_aider_repomap,?,702,0.3046335159182381,0.27308095092351364,0.3373723991201921,
all,co_edited,sys_locagent_bfs,?,702,0.369694603664511,0.3367679238829478,0.4026945884590569,
all,co_edited,sys_repograph_k2,?,702,0.3131447470567841,0.2834382435078665,0.34407042884011646,
all,symbol,oracle,reference,702,0.7790211680460059,0.7556285230718093,0.800852549044179,1.0
all,symbol,rrf_pprpl_issue_path,fusion,702,0.47021607080736594,0.4388222421294165,0.49911503864880397,2.0
all,symbol,rrf_hops_path,fusion,702,0.4556475929307428,0.42583653935944343,0.48463533817955645,3.0
all,symbol,rrf_hops_issue_path,fusion,702,0.454267406988005,0.423310126389444,0.4836243793876219,4.0
all,symbol,ppr_und_pl,structure,702,0.4361279357486342,0.4053305520368309,0.4670313924522664,5.0
all,symbol,hops_lines,structure,702,0.42453474457142387,0.39297582114104873,0.45558039218183044,6.0
all,symbol,rrf_ppr_issue_path,fusion,702,0.4212141364952928,0.3901876075930491,0.44961251841963745,7.0
all,symbol,ppr_out_pl,structure,702,0.41660348530895036,0.388380169318119,0.4445769868592429,8.0
all,symbol,path_issue,lexical,702,0.40422188588561886,0.37308582883586877,0.43479371021320407,9.0
all,symbol,ppr_und,structure,702,0.39495236537836564,0.3650211867643753,0.4249738309998576,10.0
all,symbol,ppr_out,structure,702,0.38726897906797386,0.35694829721557125,0.41720274165808086,11.0
all,symbol,rrf_ppr_issue,fusion,702,0.38395038467530396,0.3534580016792009,0.41324273299112757,12.0
all,symbol,bfs_und,structure,702,0.37860881908965627,0.34597125409337764,0.4097717689830987,13.0
all,symbol,bm25_issue,lexical,702,0.36666381133942183,0.3366325294436705,0.3943019634100412,14.0
all,symbol,path_seed,lexical,702,0.3652472986936961,0.3327197934723813,0.39613217224436703,15.0
all,symbol,bm25_issue_pl,lexical,702,0.3559164355093525,0.3244609896903672,0.3899399233866718,16.0
all,symbol,bm25_seed,lexical,702,0.35281852006743114,0.3224792224192183,0.38188474699287933,17.0
all,symbol,pagerank,global,702,0.35245205240068106,0.32249820403443974,0.3828932969564134,18.0
all,symbol,indegree,global,702,0.3430780790719782,0.31474379442981704,0.3713913734601687,19.0
all,symbol,same_dir,reference,702,0.321329118103078,0.2906251762403873,0.35109581422185676,20.0
all,symbol,ppr_in_pl,structure,702,0.29408417404040527,0.26304276019405676,0.32445308815042206,21.0
all,symbol,ppr_in,structure,702,0.2855937925198013,0.2545847456739831,0.3163364392104306,22.0
all,symbol,random,reference,702,0.2518261106085222,0.22237911714288786,0.2816485931999167,23.0
all,symbol,bm25_issue_rd,redacted,702,0.36408207479379806,0.3342631928092279,0.3914750926660055,
all,symbol,bm25_issue_rdp,redacted,702,0.36220700852347715,0.3319268458755274,0.3899319121698009,
all,symbol,bm25_issue_rds,redacted,702,0.3566775107167697,0.3264430902313587,0.38441251806289417,
all,symbol,dense_issue,dense,702,0.4216360617167523,0.38655447452056513,0.45554478557498,
all,symbol,dense_issue_rd,dense,702,0.414109634092634,0.3793750716458668,0.4479317749032698,
all,symbol,dense_issue_rdp,dense,702,0.4168899485595253,0.38218000316549233,0.45081280812476743,
all,symbol,dense_issue_rds,dense,702,0.4104554749676315,0.3764166416787065,0.44366832189410715,
all,symbol,dense_seed,dense,702,0.3641756515648172,0.3293456142640494,0.39751777074979816,
all,symbol,path_issue_rd,redacted,702,0.36691760481272856,0.3355195134004673,0.3966443391482982,
all,symbol,path_issue_rdp,redacted,702,0.34239140937817536,0.31115149776941786,0.37296918190082723,
all,symbol,path_issue_rds,redacted,702,0.3376812407942302,0.30658247110960446,0.36732532561783554,
all,symbol,rrf_hops_path_rd,redacted,702,0.4328804025399776,0.4022971316061559,0.462097619029777,
all,symbol,rrf_hops_path_rdp,redacted,702,0.41632586347558787,0.3847675686429097,0.44635646211524455,
all,symbol,rrf_hops_path_rds,redacted,702,0.41411028934903565,0.38345471123299846,0.4446994628386881,
all,symbol,rrf_hops_pathseed,fusion-control,702,0.41864093747980236,0.38771687215269135,0.44850278442330455,
all,symbol,rrf_pprpl_dense,dense,702,0.47624370024238816,0.444355245020545,0.5058940818120748,
all,symbol,rrf_pprpl_dense_path,dense,702,0.48780429249215274,0.45768287536666746,0.5166478527368988,
