source,method,family,n_pr,auc,ci_lo,ci_hi,rank
co_edited,oracle,reference,708,0.7734787659178549,0.7498087732947746,0.7959524649721131,1
co_edited,rrf_pprpl_issue_path,fusion,708,0.48838870019131314,0.45728283332880343,0.5199391391249177,2
co_edited,rrf_hops_issue_path,fusion,708,0.48191803145457807,0.45012321932329524,0.5130028797571369,3
co_edited,rrf_hops_path,fusion,708,0.45818531783397604,0.4255852364294597,0.48945633934155774,4
co_edited,rrf_ppr_issue_path,fusion,708,0.4462414151944519,0.41545704688636237,0.4773019960987621,5
co_edited,path_issue,lexical,708,0.435825192247332,0.4061637205730371,0.4657557465816221,6
co_edited,bm25_issue,lexical,708,0.4072061222087705,0.37880941646064564,0.4349810865134722,7
co_edited,bm25_seed,lexical,708,0.39302753116312433,0.36163845366544234,0.42467270097113957,8
co_edited,rrf_ppr_issue,fusion,708,0.3930239814067497,0.3625672617193239,0.424758180555587,9
co_edited,hops_lines,structure,708,0.3889406639539054,0.35439179056208375,0.4232821128231048,10
co_edited,ppr_und_pl,structure,708,0.37141511972020447,0.3375787042274011,0.40349142058647786,11
co_edited,path_seed,lexical,708,0.36844661259827216,0.33524317457121455,0.4012428788491949,12
co_edited,bfs_und,structure,708,0.36209752301736764,0.3295015381974533,0.39471884874706054,13
co_edited,ppr_und,structure,708,0.3573817183810122,0.3247438360479855,0.3905583814508631,14
co_edited,bm25_issue_pl,lexical,708,0.35404132757151824,0.3180901443717646,0.3889443097537998,15
co_edited,same_dir,reference,708,0.32682721374017276,0.29556576390143635,0.35908917412459024,16
co_edited,pagerank,global,708,0.2716532102875676,0.24045500213063403,0.30223007298110993,17
co_edited,indegree,global,708,0.26820268361581917,0.23750047585257386,0.29867676163329704,18
co_edited,random,reference,708,0.2473322413161749,0.21838950452446382,0.2763623359095955,19
symbol,oracle,reference,1156,0.7930416975089866,0.7715268100761908,0.8131448292038649,1
symbol,ppr_und_pl,structure,1156,0.48932899880616615,0.46012651652273817,0.5174073748503332,2
symbol,rrf_hops_path,fusion,1156,0.477124617407851,0.4496819571291986,0.5035037654945994,3
symbol,hops_lines,structure,1156,0.47674197454971573,0.4470904839639413,0.5050134596531638,4
symbol,rrf_pprpl_issue_path,fusion,1156,0.47517121846828386,0.44657013426059033,0.5030675033452197,5
symbol,rrf_hops_issue_path,fusion,1156,0.4581719309628022,0.4302662059444256,0.48558363623174144,6
symbol,ppr_und,structure,1156,0.44568332568574975,0.4171125706091292,0.4746426251614236,7
symbol,rrf_ppr_issue_path,fusion,1156,0.421255742177664,0.39238591535230755,0.4503164805779719,8
symbol,bfs_und,structure,1156,0.4201151254017151,0.3913964022161936,0.4473938577700302,9
symbol,pagerank,global,1156,0.4099921053970847,0.3809450842809124,0.4388147869323269,10
symbol,indegree,global,1156,0.39763822043392083,0.3705393462492755,0.424923060962281,11
symbol,rrf_ppr_issue,fusion,1156,0.39053800637885266,0.36070824907862925,0.42094569666438003,12
symbol,path_issue,lexical,1156,0.3834700026368388,0.3523254912646667,0.41398020929094814,13
symbol,path_seed,lexical,1156,0.3651866451200025,0.33482464699556197,0.39277952544462963,14
symbol,bm25_issue_pl,lexical,1156,0.3552965126677088,0.32365157138170897,0.3861252905308552,15
symbol,bm25_issue,lexical,1156,0.3404272250723622,0.31130613965041953,0.3682011773999762,16
symbol,bm25_seed,lexical,1156,0.33599125176654204,0.30463292987405277,0.3647607403844476,17
symbol,same_dir,reference,1156,0.3193999822291122,0.29015375747153255,0.3478384667570365,18
symbol,random,reference,1156,0.25067535946712893,0.22300836734578686,0.27824843691038004,19
union_static,oracle,reference,1162,0.7893429656157402,0.7677741497461823,0.8094524174062457,1
union_static,ppr_und_pl,structure,1162,0.4853997422784688,0.4564591443948846,0.5133738981211644,2
union_static,hops_lines,structure,1162,0.4743552021588963,0.4444374262574841,0.5029330349651759,3
union_static,rrf_hops_path,fusion,1162,0.4733056889576167,0.4455754988835756,0.4996945585018729,4
union_static,rrf_pprpl_issue_path,fusion,1162,0.47011338795338803,0.44208182112127625,0.49813392187996347,5
union_static,rrf_hops_issue_path,fusion,1162,0.4541047702416663,0.4264167434566801,0.4812570715607575,6
union_static,ppr_und,structure,1162,0.4432267978823587,0.4151086775725296,0.47207421546703,7
union_static,bfs_und,structure,1162,0.41920665865169743,0.39081546737134437,0.4468465202874892,8
union_static,rrf_ppr_issue_path,fusion,1162,0.4166249091627366,0.3884527460739738,0.44491395278259893,9
union_static,pagerank,global,1162,0.40434118395590257,0.376424422871851,0.4322378072367569,10
union_static,indegree,global,1162,0.3938299847298064,0.3673294522641089,0.42052101817543786,11
union_static,rrf_ppr_issue,fusion,1162,0.3869395032120517,0.35772675687199834,0.4161862021581082,12
union_static,path_issue,lexical,1162,0.379022267857477,0.349005310491387,0.4092471967291719,13
union_static,path_seed,lexical,1162,0.36477422438201895,0.3347895645040146,0.392226671382152,14
union_static,bm25_issue_pl,lexical,1162,0.35535868847310403,0.32416184799225123,0.38600143662804803,15
union_static,bm25_issue,lexical,1162,0.33766988955513555,0.30892584540919005,0.3655435090137705,16
union_static,bm25_seed,lexical,1162,0.3368674501150971,0.3050528227079778,0.3658485105397673,17
union_static,same_dir,reference,1162,0.31898173385566964,0.2903680803991018,0.34756445201316083,18
union_static,random,reference,1162,0.25023027730670216,0.22277775687355572,0.2778037896295995,19
