source,k,n_key_files,both,struct_only,lex_only,neither
co_edited,10,4458,0.3221175414984298,0.11350381336922387,0.29991027366532075,0.26446837146702556
symbol,10,7675,0.28469055374592833,0.23348534201954396,0.20377850162866448,0.2780456026058632
union_static,10,8487,0.27795451867562154,0.2236361494049723,0.2091433957817839,0.28926593613762225
co_edited,20,4458,0.5074024226110363,0.09600717810677434,0.24405563032750113,0.1525347689546882
symbol,20,7675,0.47400651465798044,0.19856677524429966,0.16521172638436482,0.16221498371335505
union_static,20,8487,0.4642394250029457,0.19264757864969953,0.17344173441734417,0.16967126193001061
co_edited,50,4458,0.7671601615074024,0.058546433378196504,0.13436518618214446,0.03992821893225662
symbol,50,7675,0.7288599348534202,0.11478827361563518,0.09771986970684039,0.05863192182410423
union_static,50,8487,0.7227524449157535,0.1129963473547779,0.10463061152350654,0.05962059620596206
