half,source,method,family,n_pr,auc,ci_lo,ci_hi,rank,chosen_on_select,n_repos
select,symbol,indegree,global,320,0.34848710977712216,0.3065282636030374,0.38810370138649114,17.0,rrf_pprpl_issue_path,56
select,symbol,bm25_seed,lexical,320,0.34408223879996713,0.296295944366237,0.39144307727665223,18.0,rrf_pprpl_issue_path,56
select,symbol,bm25_issue_pl,lexical,320,0.3417996317812679,0.2907655831452951,0.3905197838098647,19.0,rrf_pprpl_issue_path,56
select,symbol,same_dir,reference,320,0.31211626477926524,0.267202168615587,0.3555323833471287,20.0,rrf_pprpl_issue_path,56
select,symbol,ppr_in_pl,structure,320,0.29247724152640614,0.24006329470386079,0.3410421081582567,21.0,rrf_pprpl_issue_path,56
select,symbol,ppr_in,structure,320,0.28189081926671716,0.230516242735521,0.3278980604024745,22.0,rrf_pprpl_issue_path,56
select,symbol,random,reference,320,0.24178573298102224,0.19494762552060813,0.2878531782629347,23.0,rrf_pprpl_issue_path,56
select,symbol,rrf_hops_pathseed,fusion-control,320,0.4181740596098923,0.3766800792484322,0.4587586345666846,,rrf_pprpl_issue_path,56
select,symbol,rrf_pprpl_seedpath,fusion-control,320,0.4185069460028633,0.3747584704484725,0.4609096754291596,,rrf_pprpl_issue_path,56
confirm,co_edited,oracle,reference,382,0.7716236079946813,0.7342152008846986,0.8052237564329117,1.0,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_pprpl_issue_path,fusion,382,0.49188827945372454,0.4480394627822763,0.5354124734320086,2.0,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_hops_issue_path,fusion,382,0.48121377150336575,0.43688737303307495,0.5240174791559722,3.0,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_hops_path,fusion,382,0.45767741142413915,0.41190497634536355,0.5025704258786132,4.0,rrf_pprpl_issue_path,56
confirm,co_edited,path_issue,lexical,382,0.4453079119227679,0.4034335536630137,0.4866015994395218,5.0,rrf_pprpl_issue_path,56
confirm,co_edited,rrf_ppr_issue_path,fusion,382,0.4445355567328735,0.4023889090450741,0.48775134681637705,6.0,rrf_pprpl_issue_path,56
confirm,co_edited,bm25_issue,lexical,382,0.41211628957865865,0.37647434362725146,0.4477365482650601,7.0,rrf_pprpl_issue_path,56
