source,hops,n,share
symbol,1,3479,0.4532899022801303
symbol,2,3174,0.4135504885993485
symbol,3+,700,0.09120521172638436
symbol,unreachable,322,0.04195439739413681
co_edited,1,1738,0.3898609241812472
co_edited,2,2188,0.4908030506953791
co_edited,3+,406,0.09107222969941678
co_edited,unreachable,126,0.02826379542395693
