instance_id,repo_key,status,n_co_edited,n_new_files,n_symbol_files,names_tried,names_resolved_in_repo,jedi_errors,truncated,seconds
aws-cloudformation__cfn-lint-3714,aws-cloudformation/cfn-lint,ok,2,0,4,43,24,0,False,6.9
aws-cloudformation__cfn-lint-3731,aws-cloudformation/cfn-lint,ok,3,0,3,16,11,0,False,4.0
aws-cloudformation__cfn-lint-3749,aws-cloudformation/cfn-lint,ok,1,0,1,15,20,0,False,3.7
aws-cloudformation__cfn-lint-3785,aws-cloudformation/cfn-lint,ok,1,0,4,52,42,0,False,2.6
aws-cloudformation__cfn-lint-3855,aws-cloudformation/cfn-lint,ok,1,0,2,17,9,0,False,4.5
aws-cloudformation__cfn-lint-3875,aws-cloudformation/cfn-lint,ok,1,0,1,13,17,0,False,4.5
aws-cloudformation__cfn-lint-3890,aws-cloudformation/cfn-lint,ok,1,0,1,15,10,0,False,3.9
aws-cloudformation__cfn-lint-4026,aws-cloudformation/cfn-lint,ok,2,0,6,52,39,0,False,5.2
aws-cloudformation__cfn-lint-4149,aws-cloudformation/cfn-lint,ok,1,0,0,0,0,0,False,3.9
aws-cloudformation__cfn-lint-4236,aws-cloudformation/cfn-lint,ok,1,0,3,15,9,0,False,5.1
Azure__azure-cli-1876,azure/azure-cli,ok,2,0,2,39,25,0,False,5.9
Azure__azure-cli-2053,azure/azure-cli,ok,4,0,2,200,73,0,False,3.9
Azure__azure-cli-2214,azure/azure-cli,ok,1,0,1,7,3,0,False,1.5
Azure__azure-cli-2467,azure/azure-cli,ok,2,0,1,10,1,0,False,1.1
Azure__azure-cli-2844,azure/azure-cli,ok,2,0,1,7,1,0,False,1.3
Azure__azure-cli-2955,azure/azure-cli,ok,4,1,2,140,19,0,False,5.5
Azure__azure-cli-3354,azure/azure-cli,ok,1,0,1,23,15,0,False,6.6
Azure__azure-cli-3643,azure/azure-cli,ok,1,0,1,1,1,0,False,1.9
Azure__azure-cli-3743,azure/azure-cli,ok,1,0,1,12,10,0,False,1.4
Azure__azure-cli-4265,azure/azure-cli,ok,2,0,2,56,28,0,False,5.0
beeware__briefcase-1054,beeware/briefcase,ok,1,0,1,48,9,0,False,1.4
beeware__briefcase-1088,beeware/briefcase,ok,1,0,1,8,4,0,False,0.6
beeware__briefcase-1180,beeware/briefcase,ok,1,0,0,0,0,0,False,1.4
beeware__briefcase-1307,beeware/briefcase,ok,1,0,2,224,42,0,False,2.0
beeware__briefcase-1373,beeware/briefcase,ok,1,0,2,3,4,0,False,0.8
beeware__briefcase-1387,beeware/briefcase,ok,1,0,2,14,12,0,False,0.9
beeware__briefcase-1598,beeware/briefcase,ok,2,0,5,87,67,0,False,1.7
beeware__briefcase-1823,beeware/briefcase,ok,1,0,0,5,0,0,False,0.5
beeware__briefcase-1824,beeware/briefcase,ok,1,0,0,0,0,0,False,0.7
beeware__briefcase-1910,beeware/briefcase,ok,3,0,4,119,24,0,False,1.0
beeware__briefcase-1972,beeware/briefcase,ok,1,0,1,3,2,0,False,0.6
beeware__briefcase-2085,beeware/briefcase,ok,1,0,1,4,2,0,False,0.9
beeware__briefcase-2089,beeware/briefcase,ok,2,0,4,28,16,0,False,0.9
beeware__briefcase-2114,beeware/briefcase,ok,3,0,6,59,35,0,False,1.2
beeware__briefcase-2214,beeware/briefcase,ok,4,0,6,85,60,0,False,3.2
beeware__briefcase-2302,beeware/briefcase,ok,1,0,5,13,13,0,False,1.1
beeware__briefcase-864,beeware/briefcase,ok,1,0,1,4,2,0,False,2.0
beeware__briefcase-927,beeware/briefcase,ok,2,0,2,6,3,0,False,1.2
beeware__briefcase-935,beeware/briefcase,ok,1,0,1,5,3,0,False,1.2
beeware__briefcase-955,beeware/briefcase,ok,1,0,0,0,0,0,False,0.4
borgbackup__borg-2527,borgbackup/borg,ok,4,0,4,178,94,0,False,4.8
borgbackup__borg-2555,borgbackup/borg,ok,1,0,1,32,34,0,False,2.9
borgbackup__borg-2566,borgbackup/borg,ok,1,0,1,10,9,0,False,2.1
borgbackup__borg-6527,borgbackup/borg,ok,3,0,3,17,11,0,False,6.5
borgbackup__borg-6528,borgbackup/borg,ok,1,0,0,6,0,0,False,0.4
borgbackup__borg-6529,borgbackup/borg,ok,1,0,0,6,0,0,False,0.5
borgbackup__borg-6682,borgbackup/borg,ok,1,0,2,11,10,0,False,7.0
borgbackup__borg-6683,borgbackup/borg,ok,1,0,2,11,10,0,False,9.4
borgbackup__borg-6684,borgbackup/borg,ok,1,0,2,11,10,0,False,3.6
borgbackup__borg-7388,borgbackup/borg,ok,3,0,4,10,9,0,False,3.2
borgbackup__borg-7448,borgbackup/borg,ok,1,0,1,10,4,0,False,0.6
borgbackup__borg-7474,borgbackup/borg,ok,2,0,4,129,69,0,False,2.5
borgbackup__borg-7492,borgbackup/borg,ok,3,0,4,120,17,0,False,3.7
borgbackup__borg-7517,borgbackup/borg,ok,3,0,8,81,48,0,False,1.6
borgbackup__borg-7549,borgbackup/borg,ok,2,0,5,27,13,0,False,1.3
borgbackup__borg-7583,borgbackup/borg,ok,3,0,4,46,35,0,False,4.6
borgbackup__borg-7712,borgbackup/borg,ok,1,0,2,21,13,0,False,3.8
borgbackup__borg-7941,borgbackup/borg,ok,2,0,2,22,16,0,False,7.5
borgbackup__borg-7942,borgbackup/borg,ok,1,0,1,13,15,0,False,8.2
borgbackup__borg-8436,borgbackup/borg,ok,1,1,12,381,50,0,False,6.8
bridgecrewio__checkov-1147,bridgecrewio/checkov,ok,1,0,6,71,44,0,False,5.1
bridgecrewio__checkov-1457,bridgecrewio/checkov,ok,1,0,1,13,11,0,False,4.5
bridgecrewio__checkov-211,bridgecrewio/checkov,ok,1,0,1,6,3,0,False,3.7
bridgecrewio__checkov-2167,bridgecrewio/checkov,ok,2,0,2,88,62,0,False,4.8
bridgecrewio__checkov-2214,bridgecrewio/checkov,ok,1,0,0,0,0,0,False,2.8
bridgecrewio__checkov-281,bridgecrewio/checkov,ok,1,0,2,7,4,0,False,4.4
bridgecrewio__checkov-289,bridgecrewio/checkov,ok,1,0,3,28,19,0,False,2.5
bridgecrewio__checkov-474,bridgecrewio/checkov,ok,1,0,2,6,6,0,False,3.5
bridgecrewio__checkov-5936,bridgecrewio/checkov,ok,1,0,0,0,0,0,False,8.5
bridgecrewio__checkov-6144,bridgecrewio/checkov,ok,1,0,0,0,0,0,False,0.9
bridgecrewio__checkov-6314,bridgecrewio/checkov,ok,1,0,1,9,5,0,False,8.4
bridgecrewio__checkov-6354,bridgecrewio/checkov,ok,2,0,3,33,21,0,False,7.2
bridgecrewio__checkov-6612,bridgecrewio/checkov,ok,2,0,2,9,3,0,False,6.8
bridgecrewio__checkov-6657,bridgecrewio/checkov,ok,3,0,9,219,132,0,False,2.0
bridgecrewio__checkov-6695,bridgecrewio/checkov,ok,1,0,0,0,0,0,False,2.1
bridgecrewio__checkov-6933,bridgecrewio/checkov,ok,2,0,7,32,27,0,False,1.6
bridgecrewio__checkov-6999,bridgecrewio/checkov,ok,3,0,12,111,92,0,False,1.9
bridgecrewio__checkov-7002,bridgecrewio/checkov,ok,2,0,3,18,14,0,False,9.3
bridgecrewio__checkov-7022,bridgecrewio/checkov,ok,1,0,1,5,2,0,False,7.5
bridgecrewio__checkov-7124,bridgecrewio/checkov,ok,1,0,0,0,0,0,False,1.2
canonical__charmcraft-1165,canonical/charmcraft,ok,1,0,1,19,16,0,False,0.9
canonical__charmcraft-1365,canonical/charmcraft,ok,1,0,1,3,3,0,False,0.4
canonical__charmcraft-1741,canonical/charmcraft,ok,1,0,1,45,22,0,False,0.5
