source,hops,n,share
co_edited,1,170,0.36324786324786323
co_edited,2,126,0.2692307692307692
co_edited,3+,44,0.09401709401709402
co_edited,unreachable,128,0.27350427350427353
symbol,1,330,0.40540540540540543
symbol,2,260,0.3194103194103194
symbol,3+,79,0.09705159705159705
symbol,unreachable,145,0.17813267813267813
